word,meaning,image_name,type,category,source,license
Expunged,Erased from the record.,flashcard_expunged,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Fail,Not doing something you should do.,flashcard_fail,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
False,Not true.,flashcard_false,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Federal,National government.,flashcard_federal,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
File (Taxes),To send papers to the government.,flashcard_file_taxes,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Force,Using power or violence.,flashcard_force,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Foreign,From another country.,flashcard_foreign,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Form,A paper or type.,flashcard_form,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Fraudulent,Fake or a lie to trick someone.,flashcard_fraudulent,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Gain,To get.,flashcard_gain,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Gambling,Playing games for money.,flashcard_gambling,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Genocide,Killing a whole group of people.,flashcard_genocide,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Group,People together.,flashcard_group,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Guerrilla Group,Using weapons to attack the government.,flashcard_guerrilla_group,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Harm,To hurt someone.,flashcard_harm,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Help,To assist.,flashcard_help,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Hereditary Title,"A royal name (King, Prince).",flashcard_hereditary_title,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Hijacking,Stealing a plane or vehicle by force.,flashcard_hijacking,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Honorable,Good service (in the military).,flashcard_honorable,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Hostilities,War or fighting.,flashcard_hostilities,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Illegal,Against the law.,flashcard_illegal,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Immigration Benefit,"Things like Visa, Green Card.",flashcard_immigration_benefit,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Import,To bring into the country.,flashcard_import,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Incited,Encouraged others to do bad things.,flashcard_incited,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Include,To have as part.,flashcard_include,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Income,Money you earn.,flashcard_income,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Influence,Effect of alcohol or drugs.,flashcard_influence,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Information,Facts.,flashcard_information,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Injuring,Hurting someone physically.,flashcard_injuring,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Injury,Harm or damage.,flashcard_injury,generated_iconic,health,Generated locally from the flashcard word and definition,Project-owned generated image
Insurgent,A fighter against the government.,flashcard_insurgent,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Intent,Purpose or plan to do something.,flashcard_intent,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Involved,Connected to.,flashcard_involved,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Jail / Prison,A place where criminals are kept.,flashcard_jail_prison,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Keep,To hold or not let go.,flashcard_keep,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Kidnapping,Taking a person by force.,flashcard_kidnapping,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Killing,Making someone die.,flashcard_killing,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Labor Camp,Prison with forced work.,flashcard_labor_camp,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Law Enforcement,Police or agencies that enforce laws.,flashcard_law_enforcement,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Lawful,Legal / Allowed by law.,flashcard_lawful,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Lie,To say something that is not true.,flashcard_lie,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Manufacture,To make or produce.,flashcard_manufacture,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Member,A person who belongs to a group.,flashcard_member,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Mental Impairment,A problem with the mind.,flashcard_mental_impairment,generated_iconic,health,Generated locally from the flashcard word and definition,Project-owned generated image
Military Unit,Official army group.,flashcard_military_unit,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Militia,An army of citizens.,flashcard_militia,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Misleading,Making people believe something wrong.,flashcard_misleading,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Misrepresentation,Lying to get something.,flashcard_misrepresentation,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Narcotics,Illegal drugs.,flashcard_narcotics,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Nobility,"High social rank (like Duke, Prince).",flashcard_nobility,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Noncitizen,Not a citizen.,flashcard_noncitizen,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Noncombatant,In army but no fighting.,flashcard_noncombatant,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Nonresident,Not living in the U.S.,flashcard_nonresident,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Oath,A promise.,flashcard_oath,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Oath of Allegiance,A promise to be loyal to the U.S.,flashcard_oath_of_allegiance,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Obtain,To get something.,flashcard_obtain,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Occur,To happen.,flashcard_occur,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Officer,Person with authority.,flashcard_officer,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Official,A person with authority.,flashcard_official,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Opposition,Being against something.,flashcard_opposition,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Order of Nobility,A high rank given by a King.,flashcard_order_of_nobility,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Organization,An organized group of people.,flashcard_organization,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Overdue,Late (not paid on time).,flashcard_overdue,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Overthrow,To remove government by force.,flashcard_overthrow,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Owe,To need to pay money.,flashcard_owe,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Paramilitary Unit,Civilians acting like an army.,flashcard_paramilitary_unit,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Paraphernalia,Tools for using drugs.,flashcard_paraphernalia,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Pardon,Official forgiveness for a crime.,flashcard_pardon,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Parole,Early release from prison.,flashcard_parole,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Participate,To be part of or join in.,flashcard_participate,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Pending,Waiting for a decision.,flashcard_pending,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Permanent,Lasting forever.,flashcard_permanent,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Persecute,To hurt because of race/religion.,flashcard_persecute,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Police Unit,Official law enforcement group.,flashcard_police_unit,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Political Opinion,What you think about politics.,flashcard_political_opinion,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Polygamy,Married to more than one person.,flashcard_polygamy,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Practice,To do or follow (a religion).,flashcard_practice,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Prepare,To get ready.,flashcard_prepare,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Prison Camp,Camp for prisoners of war/politics.,flashcard_prison_camp,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Prisoner,Person kept in prison.,flashcard_prisoner,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Probation,"No jail, but must report to police.",flashcard_probation,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Proceedings,A legal case or process.,flashcard_proceedings,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Proceeds,Money earned (usually illegal).,flashcard_proceeds,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Procure,To find someone (for prostitution).,flashcard_procure,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Property,Things you own.,flashcard_property,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Prostitution,Sex for money.,flashcard_prostitution,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Provide,To give.,flashcard_provide,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Public Benefit,Money or help from government.,flashcard_public_benefit,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Purpose,Reason.,flashcard_purpose,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Question,Something you ask.,flashcard_question,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Race,Ethnic group or background.,flashcard_race,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Reason,Why something happens.,flashcard_reason,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Rebel Group,Fighting against the government.,flashcard_rebel_group,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Receive,To get.,flashcard_receive,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Records,Written accounts or files.,flashcard_records,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Recruit,To ask someone to join.,flashcard_recruit,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Register,To sign up.,flashcard_register,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Regulation,Official rule or law.,flashcard_regulation,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Rehabilitative Program,Program to help cure drugs/alcohol.,flashcard_rehabilitative_program,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Religion,Belief in God.,flashcard_religion,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Removal,Being taken out of the U.S.,flashcard_removal,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Rescission,Taking back a decision.,flashcard_rescission,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Resident,Person living in a place.,flashcard_resident,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Residing,Living in.,flashcard_residing,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Return,To go back or a tax form.,flashcard_return,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Sabotage,Destroying things on purpose.,flashcard_sabotage,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Sealed,Hidden or closed record.,flashcard_sealed,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Selective Service,Agency for military draft registration.,flashcard_selective_service,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Self-defense Unit,A group protecting themselves.,flashcard_self_defense_unit,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Separation,Living apart but married.,flashcard_separation,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Served,Worked in.,flashcard_served,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Severely,Very badly.,flashcard_severely,generated_iconic,health,Generated locally from the flashcard word and definition,Project-owned generated image
Sexual Contact,Touching private parts.,flashcard_sexual_contact,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Smuggle,To hide and bring illegal things.,flashcard_smuggle,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Social Group,People sharing similar characteristics.,flashcard_social_group,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Specify,To state clearly.,flashcard_specify,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Stationed,Where a soldier works.,flashcard_stationed,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Suffering,Feeling pain or distress.,flashcard_suffering,generated_iconic,health,Generated locally from the flashcard word and definition,Project-owned generated image
Supplies,Things needed (food/tools).,flashcard_supplies,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Support,To pay for help.,flashcard_support,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Suspended Sentence,Delayed jail sentence.,flashcard_suspended_sentence,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Taxes,Money paid to government.,flashcard_taxes,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Threaten,To say you will hurt someone.,flashcard_threaten,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Torture,Causing great pain.,flashcard_torture,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Totalitarian Party,Dictatorship. No freedom.,flashcard_totalitarian_party,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Trafficked,Buying or selling people/drugs.,flashcard_trafficked,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Training,Learning how to do something.,flashcard_training,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Transport,To move things.,flashcard_transport,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Transportation,Moving things.,flashcard_transportation,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Unconstitutional,Not allowed by the Constitution.,flashcard_unconstitutional,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Unlawful,Against the law; illegal.,flashcard_unlawful,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Use,To do something with tool.,flashcard_use,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Vehicle,"Car, truck, or bus.",flashcard_vehicle,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Vessel,A ship or boat.,flashcard_vessel,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Vigilante Unit,Acting like police illegally.,flashcard_vigilante_unit,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Violation,Breaking a rule.,flashcard_violation,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Violence,Using force to hurt people.,flashcard_violence,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Volunteer,To work without pay.,flashcard_volunteer,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Vote,To choose a leader.,flashcard_vote,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
War,Fighting between countries.,flashcard_war,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Way,Method.,flashcard_way,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Weapon,"Gun, knife, or bomb.",flashcard_weapon,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Willing,Ready to do something.,flashcard_willing,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Withheld Adjudication,Judge delays the final decision.,flashcard_withheld_adjudication,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Work of National Importance,Helping country in emergency.,flashcard_work_of_national_importance,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
